,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,Link,Coll_games,Coll_pass_cmp,Coll_pass_att,Coll_pass_cmp_pct,Coll_pass_yds,Coll_pass_td,Coll_pass_td_pct,Coll_pass_int,Coll_pass_int_pct,Coll_pass_yds_per_att,Coll_pass_adj_yds_per_att,Coll_pass_yds_per_cmp,Coll_pass_yds_per_g,Coll_pass_rating,Coll_rush_att,Coll_rush_yds,Coll_rush_yds_per_att,Coll_rush_td,Coll_rush_yds_per_g,Coll_rec,Coll_rec_yds,Coll_rec_yds_per_rec,Coll_rec_td,Coll_rec_yds_per_g,Coll_scrim_att,Coll_yds_from_scrimmage,Coll_scrim_yds_per_att,Coll_scrim_td
2,1,JAX,Trevor Lawrence,QB,21,2024,0,1,4,39,39,60,1288,2034,13815,69,46,231,1083,14,0,-5,0,4,,,Clemson,http://www.sports-reference.com/cfb/players/trevor-lawrence-1.html,40.0,758.0,1138.0,66.6,10098.0,90.0,7.9,17.0,1.5,8.9,9.78,13.3,252.5,164.3,231.0,943.0,4.1,18.0,23.6,3.0,-4.0,-1.3,0.0,-0.1,234.0,939.0,4.0,18.0
3,2,NYJ,Zach Wilson,QB,22,2023,0,0,3,13,13,34,566,993,6293,23,25,93,498,5,1,2,1,1,,,BYU,http://www.sports-reference.com/cfb/players/zach-wilson-3.html,30.0,566.0,837.0,67.6,7652.0,56.0,6.7,15.0,1.8,9.1,9.67,13.5,255.1,162.9,212.0,642.0,3.0,15.0,21.4,3.0,51.0,17.0,0.0,1.7,215.0,693.0,3.2,15.0
4,3,SFO,Trey Lance,QB,21,2024,0,0,0,5,4,12,81,143,1063,5,4,65,276,1,0,0,0,1,,,North Dakota St.,http://www.sports-reference.com/cfb/players/trey-lance-1.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,4,ATL,Kyle Pitts,TE,20,2024,0,1,4,21,21,61,0,0,0,0,0,1,-4,0,196,2651,10,3,,,Florida,http://www.sports-reference.com/cfb/players/kyle-pitts-1.html,32.0,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,100.0,1492.0,14.9,18.0,46.6,100.0,1492.0,14.9,18.0
6,5,CIN,Ja'Marr Chase,WR,21,2024,1,4,4,48,48,62,1,1,-7,0,0,18,55,0,395,5425,46,6,,,LSU,http://www.sports-reference.com/cfb/players/jamarr-chase-1.html,27.0,,,,,,,,,,,,,,1.0,5.0,5.0,0.0,0.2,107.0,2093.0,19.6,23.0,77.5,108.0,2098.0,19.4,23.0
7,6,MIA,Jaylen Waddle,WR,22,2024,0,0,4,34,34,62,0,0,0,0,0,12,53,1,309,4129,20,4,,,Alabama,http://www.sports-reference.com/cfb/players/jaylen-waddle-1.html,34.0,,,,,,,,,,,,,,4.0,17.0,4.3,0.0,0.5,106.0,1999.0,18.9,17.0,58.8,110.0,2016.0,18.3,17.0
11,10,PHI,DeVonta Smith,WR,22,2024,0,0,4,40,40,63,0,0,0,0,0,1,1,0,308,4011,27,1,,,Alabama,http://www.sports-reference.com/cfb/players/devonta-smith-1.html,54.0,,,,,,,,,,,,,,4.0,6.0,1.5,1.0,0.1,235.0,3965.0,16.9,46.0,73.4,239.0,3971.0,16.6,47.0
12,11,CHI,Justin Fields,QB,22,2024,0,0,3,39,34,50,684,1119,7780,45,31,418,2509,19,0,0,0,,,,Ohio St.,http://www.sports-reference.com/cfb/players/justin-fields-2.html,34.0,423.0,618.0,68.4,5701.0,67.0,10.8,9.0,1.5,9.2,10.74,13.5,167.7,178.8,260.0,1133.0,4.4,19.0,33.3,1.0,-10.0,-10.0,0.0,-0.3,261.0,1123.0,4.3,19.0
16,15,NWE,Mac Jones,QB,23,2024,0,1,3,27,24,52,1035,1570,10590,54,44,145,419,2,0,0,0,1,,,Alabama,http://www.sports-reference.com/cfb/players/mac-jones-1.html,39.0,413.0,556.0,74.3,6126.0,56.0,10.1,7.0,1.3,11.0,12.47,14.8,157.1,197.6,54.0,42.0,0.8,2.0,1.1,2.0,-9.0,-4.5,0.0,-0.2,56.0,33.0,0.6,2.0
21,20,NYG,Kadarius Toney,WR,22,2024,0,0,0,7,3,35,1,4,19,0,0,23,115,1,82,760,3,1,,,Florida,http://www.sports-reference.com/cfb/players/kadarius-toney-1.html,38.0,3.0,6.0,50.0,82.0,1.0,16.7,0.0,0.0,13.7,17.0,27.3,2.2,219.8,66.0,580.0,8.8,2.0,15.3,120.0,1590.0,13.3,12.0,41.8,186.0,2170.0,11.7,14.0
25,24,PIT,Najee Harris,RB,23,2024,0,1,4,29,29,68,1,1,4,0,0,1097,4312,28,180,1149,6,4,,,Alabama,http://www.sports-reference.com/cfb/players/najee-harris-1.html,55.0,,,,,,,,,,,,,,638.0,3843.0,6.0,46.0,69.9,80.0,781.0,9.8,11.0,14.2,718.0,4624.0,6.4,57.0
26,25,JAX,Travis Etienne,RB,22,2024,0,0,3,24,24,49,0,0,0,0,0,637,2691,18,132,1046,1,,,,Clemson,http://www.sports-reference.com/cfb/players/travis-etienne-1.html,55.0,1.0,1.0,100.0,23.0,0.0,0.0,0.0,0.0,23.0,23.0,23.0,0.4,293.2,686.0,4952.0,7.2,70.0,90.0,102.0,1155.0,11.3,8.0,21.0,788.0,6107.0,7.8,78.0
28,27,BAL,Rashod Bateman,WR,21,2024,0,0,2,18,18,51,0,0,0,0,0,1,18,0,138,1923,13,,,,Minnesota,http://www.sports-reference.com/cfb/players/rashod-bateman-1.html,31.0,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,147.0,2395.0,16.3,19.0,77.3,147.0,2395.0,16.3,19.0
35,34,NYJ,Elijah Moore,WR,21,2024,0,0,3,14,7,61,0,0,0,0,0,20,71,1,200,2162,9,4,,,Mississippi,http://www.sports-reference.com/cfb/players/elijah-moore-1.html,32.0,1.0,1.0,100.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.1,116.8,21.0,71.0,3.4,0.0,2.2,189.0,2441.0,12.9,16.0,76.3,210.0,2512.0,12.0,16.0
36,35,DEN,Javonte Williams,RB,21,2024,0,0,2,20,20,54,0,0,0,0,0,606,2394,11,158,966,5,1,,,North Carolina,http://www.sports-reference.com/cfb/players/javonte-williams-1.html,35.0,,,,,,,,,,,,,,366.0,2297.0,6.3,29.0,65.6,50.0,539.0,10.8,4.0,15.4,416.0,2836.0,6.8,33.0
50,49,ARI,Rondale Moore,WR,21,2023,0,0,0,12,12,39,0,0,0,0,0,52,249,1,135,1201,3,1,,,Purdue,http://www.sports-reference.com/cfb/players/rondale-moore-1.html,20.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,30.0,248.0,8.3,3.0,12.4,178.0,1915.0,10.8,14.0,95.8,208.0,2163.0,10.4,17.0
56,55,PIT,Pat Freiermuth,TE,22,2024,0,0,2,18,18,61,0,0,0,0,0,0,0,0,220,2190,18,2,,,Penn St.,http://www.sports-reference.com/cfb/players/pat-freiermuth-1.html,30.0,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,92.0,1185.0,12.9,16.0,39.5,92.0,1185.0,12.9,16.0
57,56,SEA,D'Wayne Eskridge,WR,24,2024,0,0,0,2,2,30,0,0,0,0,0,8,74,0,20,166,1,1,,,Western Michigan,http://www.sports-reference.com/cfb/players/dwayne-eskridge-1.html,45.0,,,,,,,,,,,,,,11.0,100.0,9.1,0.0,2.2,122.0,2260.0,18.5,15.0,50.2,133.0,2360.0,17.7,15.0
58,57,LAR,Tutu Atwell,WR,21,2024,0,0,1,12,12,54,0,1,0,0,0,16,72,1,99,1343,4,,,,Louisville,http://www.sports-reference.com/cfb/players/chatarius-atwell-1.html,34.0,1.0,4.0,25.0,33.0,1.0,25.0,0.0,0.0,8.3,13.25,33.0,1.0,176.8,11.0,22.0,2.0,1.0,0.6,140.0,2307.0,16.5,21.0,67.9,151.0,2329.0,15.4,22.0
60,59,CAR,Terrace Marshall Jr.,WR,21,2024,0,0,1,6,6,43,0,0,0,0,0,0,0,0,67,808,1,1,,,LSU,http://www.sports-reference.com/cfb/players/terrace-marshall-jr-1.html,32.0,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,106.0,1594.0,15.0,23.0,49.8,106.0,1594.0,15.0,23.0
65,64,TAM,Kyle Trask,QB,23,2024,0,0,0,0,0,7,4,11,28,0,0,6,-5,0,0,0,0,,,,Florida,http://www.sports-reference.com/cfb/players/kyle-trask-1.html,29.0,552.0,813.0,67.9,7386.0,69.0,8.5,15.0,1.8,9.1,9.95,13.4,254.7,168.5,132.0,54.0,0.4,8.0,1.9,1.0,4.0,4.0,0.0,0.1,133.0,58.0,0.4,8.0
67,66,MIN,Kellen Mond,QB,22,2021,0,0,0,0,0,1,2,3,5,0,0,0,0,0,0,0,0,,,,Texas A&M,http://www.sports-reference.com/cfb/players/kellen-mond-1.html,47.0,801.0,1358.0,59.0,9661.0,71.0,5.2,27.0,2.0,7.1,7.27,12.1,205.6,132.0,438.0,1608.0,3.7,22.0,34.2,0.0,0.0,,0.0,0.0,438.0,1608.0,3.7,22.0
68,67,HOU,Davis Mills,QB,22,2024,0,0,2,15,15,38,593,948,6167,35,25,55,172,2,0,0,0,2,,,Stanford,http://www.sports-reference.com/cfb/players/davis-mills-1.html,14.0,287.0,438.0,65.5,3468.0,18.0,4.1,8.0,1.8,7.9,7.92,12.1,247.7,141.9,63.0,86.0,1.4,3.0,6.1,1.0,8.0,8.0,1.0,0.6,64.0,94.0,1.5,4.0
78,77,LAC,Josh Palmer,WR,21,2024,0,0,1,19,19,58,0,0,0,0,0,3,16,0,182,2287,10,2,,,Tennessee,http://www.sports-reference.com/cfb/players/josh-palmer-1.html,47.0,,,,,,,,,,,,,,8.0,37.0,4.6,1.0,0.8,99.0,1514.0,15.3,7.0,32.2,107.0,1551.0,14.5,8.0
82,81,MIA,Hunter Long,TE,23,2024,0,0,0,1,0,37,0,0,0,0,0,0,0,0,8,68,0,3,,,Boston Col.,http://www.sports-reference.com/cfb/players/hunter-long-3.html,36.0,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,89.0,1297.0,14.6,9.0,36.0,89.0,1297.0,14.6,9.0
