Rk,Player,Tm,FantPos,Age,Games_G,Games_GS,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Fumbles_Fmb,Fumbles_FL,Scoring_TD,Scoring_2PM,Scoring_2PP,Fantasy_FantPt,Fantasy_PPR,Fantasy_DKPt,Fantasy_FDPt,Fantasy_VBD,Fantasy_PosRank,Fantasy_OvRank,FirstTeamAllPro,SelectedToProBowl,Passing_Cmp_pass,Passing_Att_pass,Air Yards_IAY,Air Yards_IAY/PA,Air Yards_CAY,Air Yards_CAY/Cmp,Air Yards_CAY/PA,Air Yards_YAC,Air Yards_YAC/Cmp,Accuracy_Bats,Accuracy_ThAwy,Accuracy_Spikes,Accuracy_Drops,Accuracy_Drop%,Accuracy_BadTh,Accuracy_Bad%,Accuracy_OnTgt,Accuracy_OnTgt%,Pressure_PktTime,Pressure_Bltz,Pressure_Hrry,Pressure_Hits,Pressure_Prss,Pressure_Prss%,Pressure_Scrm,Pressure_Yds/Scr,RPO_Plays,RPO_Yds,RPO_PassAtt,RPO_PassYds,RPO_RushAtt,RPO_RushYds,PlayAction_PassAtt,PlayAction_PassYds,Rushing_Att_rush,Rushing_Yds_rush,Rushing_1D,Rushing_YBC,Rushing_YBC/Att,Rushing_YAC,Rushing_YAC/Att,Rushing_BrkTkl,Rushing_Att/Br,Receiving_Tgt_rec,Receiving_Rec_rec,Receiving_Yds_rec,Receiving_1D,Receiving_YBC,Receiving_YBC/R,Receiving_YAC,Receiving_YAC/R,Receiving_ADOT,Receiving_BrkTkl,Receiving_Rec/Br,Receiving_Drop,Receiving_Drop%,Receiving_Int,Receiving_Rat,Awards,Year
21,James Conner,ARI,RB,29,16,16,0,0,0,0,0,236,1094,4.64,8,55,47,414,8.81,1,4,1,9,2,,207,253.8,260.8,230.3,55,10,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236.0,1094.0,67.0,528.0,2.2,566.0,2.4,24.0,9.8,55.0,47.0,414.0,17.0,-69.0,-1.5,483.0,10.3,-1.6,12.0,3.9,2.0,3.6,2.0,88.9,,2024
22,Joe Mixon,HOU,RB,28,14,14,0,1,0,0,0,245,1016,4.15,11,52,36,309,8.58,1,0,0,12,,,205,240.5,246.5,222.5,53,11,22,,1.0,0.0,1.0,10.0,10.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,,11.0,37.0,1.0,0.0,10.0,37.0,0.0,0.0,245.0,1016.0,52.0,549.0,2.2,467.0,1.9,19.0,12.9,52.0,36.0,309.0,12.0,-51.0,-1.4,360.0,10.0,-0.5,6.0,6.0,4.0,7.7,0.0,90.9,PB,2024
23,Terry McLaurin,WAS,WR,29,17,17,0,0,0,0,0,2,2,1.00,0,117,82,1096,13.37,13,1,1,13,,,186,267.8,271.8,226.8,53,5,23,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,,117.0,82.0,1096.0,56.0,804.0,9.8,292.0,3.6,13.4,2.0,41.0,4.0,3.4,1.0,133.0,"PB,AP-2",2024
24,Trey McBride,ARI,TE,25,16,16,0,0,0,0,0,1,2,2.00,1,147,111,1146,10.32,2,0,0,4,,,139,249.8,252.8,194.3,51,3,24,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,1.0,0.0,0.0,2.0,2.0,0.0,,147.0,111.0,1146.0,63.0,633.0,5.7,513.0,4.6,6.1,5.0,22.2,3.0,2.0,1.0,99.2,PB,2024
25,Chase Brown,CIN,RB,24,16,10,0,0,0,0,0,229,990,4.32,7,65,54,360,6.67,4,2,1,11,1,,201,255.0,262.0,228.0,49,12,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229.0,990.0,49.0,599.0,2.6,391.0,1.7,23.0,10.0,65.0,54.0,360.0,23.0,34.0,0.6,326.0,6.0,0.8,2.0,27.0,2.0,3.1,0.0,110.3,,2024
26,Drake London,ATL,WR,23,17,17,0,0,0,0,0,1,-3,-3.00,0,158,100,1271,12.71,9,0,0,9,,,181,280.8,283.8,230.8,48,6,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,-3.0,0.0,-3.0,-3.0,0.0,0.0,0.0,,158.0,100.0,1271.0,67.0,944.0,9.4,327.0,3.3,10.9,6.0,16.7,5.0,3.2,8.0,86.2,,2024
27,Chuba Hubbard,CAR,RB,25,15,15,0,0,0,0,0,250,1195,4.78,10,54,43,171,3.98,1,4,3,11,1,,199,241.6,250.6,220.1,47,13,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250.0,1195.0,62.0,656.0,2.6,539.0,2.2,14.0,17.9,54.0,43.0,171.0,10.0,-74.0,-1.7,245.0,5.7,-1.2,7.0,6.1,2.0,3.7,0.0,86.0,,2024
28,Jonnu Smith,MIA,TE,29,17,6,0,0,0,0,0,2,-1,-0.50,0,111,88,884,10.05,8,2,1,8,,,134,222.3,226.3,178.3,47,4,28,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,-1.0,0.0,-1.0,-0.5,0.0,0.0,0.0,,111.0,88.0,884.0,55.0,374.0,4.3,510.0,5.8,4.9,8.0,11.0,6.0,5.4,0.0,123.9,PB,2024
29,Mark Andrews,BAL,TE,29,17,13,0,0,0,0,0,4,5,1.25,0,69,55,673,12.24,11,0,0,11,,,134,188.8,191.8,161.3,47,5,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,5.0,3.0,1.0,0.3,4.0,1.0,0.0,,69.0,55.0,673.0,39.0,485.0,8.8,188.0,3.4,10.5,1.0,55.0,4.0,5.8,1.0,140.9,AP CPoY-19,2024
30,Bucky Irving,TAM,RB,22,17,3,0,0,0,0,0,207,1122,5.42,8,52,47,392,8.34,0,2,1,8,,,197,244.4,251.4,220.9,46,14,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.0,1122.0,52.0,566.0,2.7,556.0,2.7,12.0,17.3,52.0,47.0,392.0,16.0,-136.0,-2.9,528.0,11.2,-2.7,6.0,7.8,1.0,1.9,0.0,98.1,AP ORoY-6,2024
31,Alvin Kamara,NOR,RB,29,14,14,0,0,0,0,0,228,950,4.17,6,89,68,543,7.99,2,1,0,8,,,197,265.3,271.3,231.3,46,15,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228.0,950.0,52.0,548.0,2.4,402.0,1.8,13.0,17.5,89.0,68.0,543.0,18.0,1.0,0.0,542.0,8.0,0.9,2.0,34.0,8.0,9.0,1.0,94.0,,2024
32,Aaron Jones,MIN,RB,30,17,17,0,0,0,0,0,255,1138,4.46,5,62,51,408,8.00,2,5,3,7,,,191,241.6,250.6,216.1,40,16,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255.0,1138.0,49.0,614.0,2.4,524.0,2.1,11.0,23.2,62.0,51.0,408.0,20.0,-3.0,-0.1,411.0,8.1,0.9,1.0,51.0,2.0,3.2,1.0,98.1,,2024
33,Jared Goff,DET,QB,30,17,17,390,539,4629,37,12,35,56,1.60,0,1,1,7,7.00,1,6,0,1,,1,323,324.5,339.5,336.0,39,6,33,,1.0,390.0,539.0,3390.0,6.3,1994.0,5.1,3.7,2635.0,6.8,4.0,24.0,3.0,11.0,2.1,69.0,13.5,412.0,80.5,2.3,143.0,34.0,57.0,122.0,20.9,14.0,4.9,14.0,94.0,12.0,91.0,1.0,3.0,203.0,2060.0,35.0,56.0,9.0,52.0,1.5,4.0,0.1,0.0,,1.0,1.0,7.0,1.0,5.0,5.0,2.0,2.0,5.0,0.0,,0.0,0.0,0.0,135.4,"PB,AP MVP-5,AP OPoY-9",2024
34,David Montgomery,DET,RB,27,14,14,1,1,3,1,0,185,775,4.19,12,38,36,341,9.47,0,2,1,12,,,186,221.7,228.7,203.7,35,17,34,,,1.0,1.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,2.1,1.0,0.0,0.0,0.0,0.0,0.0,,8.0,43.0,0.0,0.0,8.0,43.0,1.0,3.0,185.0,775.0,50.0,347.0,1.9,428.0,2.3,19.0,9.7,38.0,36.0,341.0,16.0,-24.0,-0.7,365.0,10.1,-0.5,11.0,3.3,0.0,0.0,0.0,104.1,,2024
35,Mike Evans,TAM,WR,31,14,14,0,0,0,0,0,0,0,,0,110,74,1004,13.57,11,0,0,11,,,166,240.4,243.4,203.4,35,7,35,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.0,74.0,1004.0,53.0,778.0,10.5,226.0,3.1,11.6,2.0,37.0,4.0,3.6,5.0,110.6,PB,2024
36,Breece Hall,NYJ,RB,23,16,16,0,0,0,0,0,209,876,4.19,5,76,57,483,8.47,3,6,2,8,2,,184,240.9,248.9,212.4,33,18,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209.0,876.0,40.0,432.0,2.1,444.0,2.1,7.0,29.9,76.0,57.0,483.0,15.0,-13.0,-0.2,496.0,8.7,0.2,6.0,9.5,9.0,11.8,0.0,104.2,,2024
37,Malik Nabers,NYG,WR,21,15,13,0,1,0,0,0,5,2,0.40,0,170,109,1204,11.05,7,1,0,7,1,,165,273.6,276.6,219.1,33,8,37,,1.0,0.0,1.0,1.0,1.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,100.0,1.0,100.0,3.7,1.0,1.0,0.0,1.0,100.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,-4.0,-0.8,6.0,1.2,0.0,,170.0,109.0,1204.0,55.0,742.0,6.8,462.0,4.2,9.1,8.0,13.6,9.0,5.3,2.0,93.8,"PB,AP ORoY-5",2024
38,Bo Nix,DEN,QB,24,17,17,376,567,3775,29,12,92,430,4.67,4,1,1,2,2.00,1,3,0,5,,,316,317.2,335.2,328.7,32,7,38,,,376.0,567.0,4116.0,7.3,1703.0,4.5,3.0,2072.0,5.5,16.0,18.0,1.0,32.0,5.8,83.0,15.1,420.0,76.6,2.5,148.0,44.0,34.0,102.0,15.9,50.0,7.2,92.0,737.0,80.0,692.0,11.0,45.0,117.0,718.0,92.0,430.0,41.0,359.0,3.9,71.0,0.8,3.0,30.7,1.0,1.0,2.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,,0.0,0.0,0.0,118.7,AP ORoY-3,2024
39,Jalen Hurts,PHI,QB,26,15,15,248,361,2903,18,5,150,630,4.20,14,0,0,0,,0,9,5,14,,,315,315.1,331.1,320.1,31,8,39,,,248.0,361.0,2812.0,7.8,1528.0,6.2,4.2,1375.0,5.5,8.0,25.0,1.0,6.0,1.8,45.0,13.4,265.0,79.1,2.7,126.0,29.0,23.0,90.0,20.5,39.0,9.4,98.0,829.0,64.0,628.0,32.0,201.0,71.0,631.0,150.0,630.0,62.0,449.0,3.0,181.0,1.2,11.0,13.6,,,,,,,,,,,,,,,,,2024
40,CeeDee Lamb,DAL,WR,25,15,15,0,0,0,0,0,14,70,5.00,0,152,101,1194,11.82,6,1,1,6,1,,162,263.4,267.4,212.9,31,9,40,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,70.0,4.0,37.0,2.6,33.0,2.4,1.0,14.0,152.0,101.0,1194.0,54.0,657.0,6.5,537.0,5.3,7.6,11.0,9.2,7.0,4.6,6.0,86.9,"PB,AP-2",2024
41,Sam LaPorta,DET,TE,23,16,16,0,0,0,0,0,0,0,,0,83,60,726,12.10,7,0,0,7,,,115,174.6,177.6,144.6,29,6,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.0,60.0,726.0,39.0,383.0,6.4,343.0,5.7,7.0,3.0,20.0,1.0,1.2,2.0,116.8,,2024
42,Courtland Sutton,DEN,WR,29,17,13,2,2,30,1,0,0,0,,0,135,81,1081,13.35,8,1,1,8,,,159,240.3,244.3,199.8,28,10,42,,,2.0,2.0,19.0,9.5,19.0,9.5,9.5,11.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,100.0,2.4,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,,,,,,,,,,135.0,81.0,1081.0,57.0,902.0,11.1,179.0,2.2,13.2,1.0,81.0,9.0,6.7,6.0,86.7,,2024
43,Ladd McConkey,LAC,WR,23,16,14,0,0,0,0,0,0,0,,0,112,82,1149,14.01,7,2,0,7,1,,159,240.9,243.9,199.9,28,11,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.0,82.0,1149.0,52.0,759.0,9.3,390.0,4.8,9.9,10.0,8.2,5.0,4.5,1.0,123.0,AP ORoY-9,2024
44,Tucker Kraft,GNB,TE,24,17,17,0,0,0,0,0,3,6,2.00,0,70,50,707,14.14,7,1,1,7,1,,113,163.3,167.3,138.3,27,7,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,6.0,3.0,3.0,1.0,3.0,1.0,0.0,,70.0,50.0,707.0,30.0,251.0,5.0,456.0,9.1,5.3,9.0,5.6,5.0,7.1,1.0,131.1,,2024
